SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,PREVADMITTEDQUOTE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE,1 min,1 quarter,1 week,10 min,1 day,1 month,1 hour
OKEY,TQBR,OKEY-гдр,52.7,10,0.0,A,Т+: Акции и ДР - безадрес.,2,ГДР OKEY Group S.A. ORD SHS,,FNDT,EQIN,,0.01,52.73,USD,2021-06-15,0,US6708662019,GDR OKEY Group ORD SHS,,52.68,52.68,SUR,D,1,2021-06-18,2020-12-14 09:59:00 / 2021-06-16 18:59:59,2020-10-01 00:00:00 / 2021-06-16 00:00:00,2020-12-14 00:00:00 / 2021-06-16 00:00:00,2020-12-14 09:50:00 / 2021-06-16 18:46:07,2020-12-14 00:00:00 / 2021-06-16 21:56:29,2020-12-01 00:00:00 / 2021-06-16 00:00:00,2020-12-14 09:00:00 / 2021-06-16 18:46:07
OMZZP,TQBR,ОМЗ-ап,4195.0,1,0.1,A,Т+: Акции и ДР - безадрес.,0,"ап""Объединён.  маш. заводы""",,FNDT,EQIN,,5.0,4195.0,SUR,2021-06-15,2750000,RU0009090559,OMZ (pref),2-01-30174-D,4195.0,4195.0,SUR,2,3,2021-06-18,2014-06-09 10:30:00 / 2021-06-16 14:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:30:00 / 2021-06-16 14:17:13,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 14:17:13
ORUP,TQBR,ОР ао,26.12,10,100.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""ОР"" ао",,FNDT,EQIN,,0.02,26.34,SUR,2021-06-15,113056000,RU000A0JXKG3,OR,1-01-50161-A,26.12,26.12,SUR,1,2,2021-06-18,2021-03-26 10:00:00 / 2021-06-16 18:59:59,2021-01-01 00:00:00 / 2021-06-16 00:00:00,2021-03-22 00:00:00 / 2021-06-16 00:00:00,2021-03-26 10:00:00 / 2021-06-16 18:49:09,2021-03-26 00:00:00 / 2021-06-16 21:56:29,2021-03-01 00:00:00 / 2021-06-16 00:00:00,2021-03-26 10:00:00 / 2021-06-16 18:49:09
OZON,TQBR,OZON-адр,4061.0,1,0.0,A,Т+: Акции и ДР - безадрес.,1,АДР Ozon Holdings PLC ORD SHS,,FNDT,EQIN,,0.5,4094.0,USD,2021-06-15,0,US69269L1044,ADS Ozon Holdings PLC ORD SHS,,4029.5,4029.5,SUR,D,1,2021-06-18,2020-11-24 18:30:00 / 2021-06-16 21:59:59,2020-10-01 00:00:00 / 2021-06-16 00:00:00,2020-11-23 00:00:00 / 2021-06-16 00:00:00,2020-11-24 18:30:00 / 2021-06-16 21:56:29,2020-11-24 00:00:00 / 2021-06-16 21:56:29,2020-11-01 00:00:00 / 2021-06-16 00:00:00,2020-11-24 18:00:00 / 2021-06-16 21:56:29
PAZA,TQBR,ПавлАвт ао,7160.0,1,415.0,A,Т+: Акции и ДР - безадрес.,0,Павловский автобус ПАО ао,,FNDT,EQIN,,20.0,7180.0,SUR,2021-06-15,1567904,RU0009083240,Pavlovo Bus ao,1-02-00261-A,7160.0,7160.0,SUR,1,3,2021-06-18,2014-06-17 14:09:00 / 2021-06-16 14:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-16 00:00:00 / 2021-06-16 00:00:00,2014-06-17 14:00:00 / 2021-06-16 14:39:59,2014-06-17 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-17 14:00:00 / 2021-06-16 14:40:19
PHOR,TQBR,ФосАгро ао,4940.0,1,2.5,A,Т+: Акции и ДР - безадрес.,0,ФосАгро ПАО ао,,FNDT,EQIN,,1.0,5008.0,SUR,2021-06-15,129500000,RU000A0JRKT8,PhosAgro ao,1-02-06556-A,4906.0,4906.0,SUR,1,1,2021-06-18,2013-02-28 10:17:00 / 2021-06-16 21:59:59,2013-01-01 00:00:00 / 2021-06-16 00:00:00,2013-02-25 00:00:00 / 2021-06-16 00:00:00,2013-02-28 10:10:00 / 2021-06-16 21:56:29,2013-02-28 00:00:00 / 2021-06-16 21:56:29,2013-02-01 00:00:00 / 2021-06-16 00:00:00,2013-02-28 10:00:00 / 2021-06-16 21:56:29
PIKK,TQBR,ПИК ао,1098.4,1,62.5,A,Т+: Акции и ДР - безадрес.,1,ПИК СЗ (ПАО) ао,,FNDT,EQIN,,0.1,1101.4,SUR,2021-06-15,660497344,RU000A0JP7J7,PIK SZ,1-02-01556-A,1087.1,1087.1,SUR,1,1,2021-06-18,2011-12-15 10:01:00 / 2021-06-16 21:59:59,2011-07-01 00:00:00 / 2021-06-16 00:00:00,2011-09-05 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 21:56:29,2011-09-07 00:00:00 / 2021-06-16 21:56:29,2011-09-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 21:56:29
PLZL,TQBR,Полюс,14825.0,1,1.0,A,Т+: Акции и ДР - безадрес.,1,Полюс ПАО ао,,FNDT,EQIN,,0.5,14828.5,SUR,2021-06-15,136069400,RU000A0JNAA8,Polus,1-01-55192-E,14845.5,14845.5,SUR,1,1,2021-06-18,2014-06-09 10:00:00 / 2021-06-16 21:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 21:56:29,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 21:56:29
PMSB,TQBR,ПермьЭнСб,218.3,10,3.25,A,Т+: Акции и ДР - безадрес.,1,"""Пермэнергосбыт"" ПАО ао",,FNDT,EQIN,,0.1,227.3,SUR,2021-06-15,36210960,RU000A0ET123,Perm' EnergoSbyt,1-01-55084-E,218.3,218.3,SUR,1,3,2021-06-18,2014-06-10 16:49:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-10 16:40:00 / 2021-06-16 18:49:59,2014-06-10 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-10 16:00:00 / 2021-06-16 18:59:59
PMSBP,TQBR,ПермьЭнС-п,185.8,10,3.25,A,Т+: Акции и ДР - безадрес.,1,"""Пермэнергосбыт"" ПАО ап",,FNDT,EQIN,,0.2,193.2,SUR,2021-06-15,11353500,RU000A0ET156,Perm' EnergoSbyt (pref),2-01-55084-E,185.8,185.8,SUR,2,3,2021-06-18,2014-06-09 18:09:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 18:00:00 / 2021-06-16 18:46:08,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 18:00:00 / 2021-06-16 18:46:08
POGR,TQBR,Petropavl,26.64,100,0.01,A,Т+: Акции и ДР - безадрес.,3,Petropavlovsk PLC,,FNDT,EQIN,,0.005,26.775,GBP,2021-06-15,3957270254,GB0031544546,Petropavlovsk PLC,,26.82,26.82,SUR,1,1,2021-06-18,2020-06-25 09:59:00 / 2021-06-16 21:59:59,2020-04-01 00:00:00 / 2021-06-16 00:00:00,2020-06-22 00:00:00 / 2021-06-16 00:00:00,2020-06-25 09:50:00 / 2021-06-16 21:56:19,2020-06-25 00:00:00 / 2021-06-16 21:56:29,2020-06-01 00:00:00 / 2021-06-16 00:00:00,2020-06-25 09:00:00 / 2021-06-16 21:56:19
POLY,TQBR,Polymetal,1671.4,1,0.0,A,Т+: Акции и ДР - безадрес.,1,Polymetal International plc,,FNDT,EQIN,,0.1,1673.7,GBP,2021-06-15,473576257,JE00B6T5S470,Polymetal International plc,,1676.6,1676.6,SUR,1,1,2021-06-18,2013-08-06 10:02:00 / 2021-06-16 21:59:59,2013-07-01 00:00:00 / 2021-06-16 00:00:00,2013-08-05 00:00:00 / 2021-06-16 00:00:00,2013-08-06 10:00:00 / 2021-06-16 21:56:29,2013-08-06 00:00:00 / 2021-06-16 21:56:29,2013-08-01 00:00:00 / 2021-06-16 00:00:00,2013-08-06 10:00:00 / 2021-06-16 21:56:29
PRMB,TQBR,Приморье,46600.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,"АКБ ""Приморье"" ао",,FNDT,EQIN,,200.0,47000.0,SUR,2021-06-15,250000,RU000A0DPNQ5,AKB Primorye,10103001B,46600.0,46600.0,SUR,1,3,2021-06-18,2014-06-24 17:21:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-23 00:00:00 / 2021-06-16 00:00:00,2014-06-24 17:20:00 / 2021-06-16 18:35:08,2014-06-24 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-24 17:00:00 / 2021-06-16 18:35:08
QIWI,TQBR,iQIWI,799.0,1,0.0,A,Т+: Акции и ДР - безадрес.,1,QIWI PLC,,FNDT,EQIN,,0.5,800.0,USD,2021-06-15,0,US74735M1080,QIWI PLC,,800.5,800.5,SUR,D,1,2021-06-18,2014-06-06 10:42:00 / 2021-06-16 21:55:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-02 00:00:00 / 2021-06-16 00:00:00,2014-06-06 10:40:00 / 2021-06-16 21:56:19,2014-06-06 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-06 10:00:00 / 2021-06-16 21:56:19
RASP,TQBR,Распадская,241.5,10,0.004,A,Т+: Акции и ДР - безадрес.,2,ПАО Распадская ао,,FNDT,EQIN,,0.02,243.5,SUR,2021-06-15,682858899,RU000A0B90N8,Raspadskaya,1-04-21725-N,241.5,241.5,SUR,1,2,2021-06-18,2014-06-09 10:02:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:49:59,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:59:59
RAVN,TQBR,Raven,28.45,100,0.01,A,Т+: Акции и ДР - безадрес.,2,Raven Property Group Limited,,FNDT,EQIN,,0.05,28.55,GBP,2021-06-15,579290442,GB00B0D5V538,Raven Property Group Limited,,28.45,28.45,SUR,1,3,2021-06-18,2018-10-03 10:44:00 / 2021-06-16 16:59:59,2018-10-01 00:00:00 / 2021-06-16 00:00:00,2018-10-01 00:00:00 / 2021-06-16 00:00:00,2018-10-03 10:40:00 / 2021-06-16 16:21:20,2018-10-03 00:00:00 / 2021-06-16 21:56:29,2018-10-01 00:00:00 / 2021-06-16 00:00:00,2018-10-03 10:00:00 / 2021-06-16 16:21:20
RBCM,TQBR,РБК ао,3.724,100,0.00064,A,Т+: Акции и ДР - безадрес.,3,РБК ПАО ао,,FNDT,EQIN,,0.002,3.728,SUR,2021-06-15,365631010,RU000A0JR6A6,RBK ao,1-02-56413-H,3.726,3.726,SUR,1,3,2021-06-18,2014-06-09 10:12:00 / 2021-06-16 18:25:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:10:00 / 2021-06-16 18:26:09,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:26:09
RDRB,TQBR,РДБанк ао,230.0,10,124.0,A,Т+: Акции и ДР - безадрес.,0,РоссийскийДорож Банк ПАО ао,,FNDT,EQIN,,2.0,230.0,SUR,2021-06-15,15158268,RU000A0JU6Q7,RosDor Bank ao,10201573B,230.0,230.0,SUR,1,3,2021-06-18,2014-12-11 17:01:00 / 2021-06-16 17:59:59,2014-10-01 00:00:00 / 2021-06-16 00:00:00,2014-12-08 00:00:00 / 2021-06-16 00:00:00,2014-12-11 17:00:00 / 2021-06-16 17:44:20,2014-12-11 00:00:00 / 2021-06-16 21:56:29,2014-12-01 00:00:00 / 2021-06-16 00:00:00,2014-12-11 17:00:00 / 2021-06-16 17:44:20
RGSS,TQBR,РГС СК ао,0.2256,1000,0.04,A,Т+: Акции и ДР - безадрес.,4,Росгосстрах СК ПАО ао,,FNDT,EQIN,,0.0002,0.2248,SUR,2021-06-15,489503740915,RU0008010855,Rosgosstrakh ao,1-03-10003-Z,0.2256,0.2256,SUR,1,3,2021-06-18,2013-12-26 16:12:00 / 2021-06-16 18:59:59,2013-10-01 00:00:00 / 2021-06-16 00:00:00,2013-12-23 00:00:00 / 2021-06-16 00:00:00,2013-12-26 16:10:00 / 2021-06-16 18:39:59,2013-12-26 00:00:00 / 2021-06-16 21:56:29,2013-12-01 00:00:00 / 2021-06-16 00:00:00,2013-12-26 16:00:00 / 2021-06-16 18:40:11
RKKE,TQBR,ЭнергияРКК,7360.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,РКК Энергия им.С.П.Королева ао,,FNDT,EQIN,,10.0,7330.0,SUR,2021-06-15,1310559,RU0009095939,RKK Energia,1-03-01091-A,7360.0,7360.0,SUR,1,3,2021-06-18,2014-06-10 11:42:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-10 11:40:00 / 2021-06-16 18:34:09,2014-06-10 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-10 11:00:00 / 2021-06-16 18:34:09
RNFT,TQBR,РуссНфт ао,172.0,1,0.5,A,Т+: Акции и ДР - безадрес.,1,РуссНефть НК ПАО ао,,FNDT,EQIN,,0.2,172.8,SUR,2021-06-15,294120000,RU000A0JSE60,RussNeft NK,1-02-39134-H,172.0,172.0,SUR,1,1,2021-06-18,2016-11-25 16:00:00 / 2021-06-16 18:59:59,2016-10-01 00:00:00 / 2021-06-16 00:00:00,2016-11-21 00:00:00 / 2021-06-16 00:00:00,2016-11-25 16:00:00 / 2021-06-16 18:49:09,2016-11-25 00:00:00 / 2021-06-16 21:56:29,2016-11-01 00:00:00 / 2021-06-16 00:00:00,2016-11-25 16:00:00 / 2021-06-16 18:49:09
ROLO,TQBR,Русолово,10.485,100,1.0,A,Т+: Акции и ДР - безадрес.,3,"""Русолово"" ПАО ао",,FNDT,EQIN,,0.005,10.515,SUR,2021-06-15,3000100000,RU000A0JU1B0,Rusolovo PAO ao,1-01-15065-A,10.485,10.485,SUR,1,3,2021-06-18,2014-06-10 13:39:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-10 13:30:00 / 2021-06-16 18:46:07,2014-06-10 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-10 13:00:00 / 2021-06-16 18:46:07
ROSB,TQBR,Росбанк ао,78.6,10,10.0,A,Т+: Акции и ДР - безадрес.,1,РОСБАНК ПАО ао,,FNDT,EQIN,,0.2,79.0,SUR,2021-06-15,1551401853,RU000A0HHK26,ROSBANK,10102272B,78.6,78.6,SUR,1,3,2021-06-18,2014-06-09 12:34:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 12:30:00 / 2021-06-16 18:11:07,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 12:00:00 / 2021-06-16 18:11:07
ROSN,TQBR,Роснефть,536.05,10,0.01,A,Т+: Акции и ДР - безадрес.,2,ПАО НК Роснефть,,FNDT,EQIN,,0.05,536.4,SUR,2021-06-15,10598177817,RU000A0J2Q06,Rosneft,1-02-00122-A,536.4,536.4,SUR,1,1,2021-06-18,2014-06-09 10:00:00 / 2021-06-16 21:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 21:56:39,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 21:56:39
ROST,TQBR,РОСИНТЕРао,67.0,10,169.7,A,Т+: Акции и ДР - безадрес.,1,РОСИНТЕР РЕСТОРАНТС (ПАО),,FNDT,EQIN,,0.2,66.8,SUR,2021-06-15,16305334,RU000A0JP922,ROSINTER RESTAURANTS ao,1-02-55033-E,67.0,67.0,SUR,1,3,2021-06-18,2014-06-09 16:04:00 / 2021-06-16 18:59:59,2011-01-01 00:00:00 / 2021-06-16 00:00:00,2011-01-24 00:00:00 / 2021-06-16 00:00:00,2014-06-09 16:00:00 / 2021-06-16 18:29:11,2011-01-27 00:00:00 / 2021-06-16 21:56:29,2011-01-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 16:00:00 / 2021-06-16 18:29:11
RSTI,TQBR,Россети ао,1.4006,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,"""Российские сети"" ПАО ао",,FNDT,EQIN,,0.0001,1.4027,SUR,2021-06-15,198827865141,RU000A0JPVJ0,Rosseti ao,1-01-55385-E,1.3987,1.3987,SUR,1,1,2021-06-18,2014-06-09 10:00:00 / 2021-06-16 21:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 21:55:19,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 21:55:19
RSTIP,TQBR,Россети ап,2.018,1000,1.0,A,Т+: Акции и ДР - безадрес.,3,"""Российские сети"" ПАО ап",,FNDT,EQIN,,0.001,2.019,SUR,2021-06-15,2075149384,RU000A0JPVK8,Rosseti ap,2-01-55385-E,2.014,2.014,SUR,2,1,2021-06-18,2014-06-09 10:01:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:46:08,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:46:08
RTGZ,TQBR,ГазпРнД ао,37900.0,1,2000.0,A,Т+: Акции и ДР - безадрес.,0,Газпром газорасп Р-н-Д ПАО ао,,FNDT,EQIN,,100.0,38000.0,SUR,2021-06-15,120246,RU000A0JPG04,Gazprom gazorasp. Rostov ao,1-02-30742-E,37900.0,37900.0,SUR,1,3,2021-06-18,2014-07-02 17:10:00 / 2021-06-16 17:59:59,2014-07-01 00:00:00 / 2021-06-16 00:00:00,2014-06-30 00:00:00 / 2021-06-16 00:00:00,2014-07-02 17:10:00 / 2021-06-16 17:59:08,2014-07-02 00:00:00 / 2021-06-16 21:56:29,2014-07-01 00:00:00 / 2021-06-16 00:00:00,2014-07-02 17:00:00 / 2021-06-16 17:59:08
RTKM,TQBR,Ростел -ао,102.75,10,0.0025,A,Т+: Акции и ДР - безадрес.,2,Ростелеком (ПАО) ао.,,FNDT,EQIN,,0.01,103.07,SUR,2021-06-15,3282997929,RU0008943394,Rostelecom,1-01-00124-A,102.52,102.52,SUR,1,1,2021-06-18,2011-12-15 10:00:00 / 2021-06-16 21:59:59,2003-10-01 00:00:00 / 2021-06-16 00:00:00,2003-09-29 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 21:56:20,2003-10-01 00:00:00 / 2021-06-16 21:56:40,2003-10-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 21:56:20
RTKMP,TQBR,Ростел -ап,92.3,10,0.0025,A,Т+: Акции и ДР - безадрес.,2,Ростелеком (ПАО) ап.,,FNDT,EQIN,,0.05,92.65,SUR,2021-06-15,209565147,RU0009046700,Rostelecom- (pref),2-01-00124-A,92.3,92.3,SUR,2,1,2021-06-18,2011-12-15 10:00:00 / 2021-06-16 18:59:59,2003-10-01 00:00:00 / 2021-06-16 00:00:00,2003-09-29 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 18:49:09,2003-10-01 00:00:00 / 2021-06-16 21:56:40,2003-10-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 18:49:09
RTSB,TQBR,ТНСэнРст,0.53,1000,0.02,A,Т+: Акции и ДР - безадрес.,3,ТНС энерго Ростов. ПАО ао,,FNDT,EQIN,,0.005,0.525,SUR,2021-06-15,8128764676,RU000A0D8PB4,TNS energo Rostov-na-Dony ao,1-01-50095-A,0.53,0.53,SUR,1,3,2021-06-18,2014-06-24 15:56:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-23 00:00:00 / 2021-06-16 00:00:00,2014-06-24 15:50:00 / 2021-06-16 18:35:09,2014-06-24 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-24 15:00:00 / 2021-06-16 18:35:09
RTSBP,TQBR,ТНСэнРст-п,0.494,10000,0.02,A,Т+: Акции и ДР - безадрес.,3,ТНС энерго Ростов. ПАО ап,,FNDT,EQIN,,0.001,0.49,SUR,2021-06-15,925737256,RU000A0D8PC2,TNS energo Rostov-na-Dony(prf),2-01-50095-A,0.494,0.494,SUR,2,3,2021-06-18,2014-06-09 11:21:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:20:00 / 2021-06-16 18:31:09,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:00:00 / 2021-06-16 18:31:09
RUAL,TQBR,РУСАЛ ао,56.505,10,0.656517,A,Т+: Акции и ДР - безадрес.,3,РУСАЛ ОК МКПАО ао,,FNDT,EQIN,,0.005,56.85,SUR,2021-06-15,15193014862,RU000A1025V3,RUSAL ao,1-01-16677-A,56.505,56.505,SUR,1,1,2021-06-18,2015-03-30 10:03:00 / 2021-06-16 21:59:59,2015-01-01 00:00:00 / 2021-06-16 00:00:00,2015-03-30 00:00:00 / 2021-06-16 00:00:00,2015-03-30 10:00:00 / 2021-06-16 21:56:39,2015-03-30 00:00:00 / 2021-06-16 21:56:40,2015-03-01 00:00:00 / 2021-06-16 00:00:00,2015-03-30 10:00:00 / 2021-06-16 21:56:39
RUGR,TQBR,Русгрэйн,12.58,10,1.0,A,Т+: Акции и ДР - безадрес.,3,Русгрэйн Холдинг ПАО ао,,FNDT,EQIN,,0.002,12.606,SUR,2021-06-15,42984000,RU000A0JPNP4,Rusgrain Holding ao,1-02-50043-H,12.58,12.58,SUR,1,3,2021-06-18,2014-06-10 13:12:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-10 13:10:00 / 2021-06-16 18:49:10,2014-06-10 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-10 13:00:00 / 2021-06-16 18:49:10
RUSI,TQBR,ИКРУСС-ИНВ,62.1,100,1.0,A,Т+: Акции и ДР - безадрес.,1,РУСС-ИНВЕСТ ИК ПАО ао,,FNDT,EQIN,,0.1,62.1,SUR,2021-06-15,109000000,RU000A0JQ9W5,RUSS-INVEST IC ao,1-01-00409-A,62.1,62.1,SUR,1,3,2021-06-18,2014-06-09 10:15:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:10:00 / 2021-06-16 18:38:09,2014-06-09 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:38:09
RUSP,TQBR,Русполимет,0.7495,1000,0.03,N,Т+: Акции и ДР - безадрес.,4,Русполимет ПАО ао,,FNDT,EQIN,,0.0005,0.7465,SUR,2021-06-15,5012985740,RU000A0JNH21,Ruspolimet ao,1-01-55157-E,0.747,0.747,SUR,1,3,2021-06-18,2014-06-16 12:58:00 / 2021-01-25 18:39:00,2014-04-01 00:00:00 / 2021-01-01 00:00:00,2014-06-16 00:00:00 / 2021-01-25 00:00:00,2014-06-16 12:50:00 / 2021-01-25 18:30:00,2014-06-16 00:00:00 / 2021-01-25 00:00:00,2014-06-01 00:00:00 / 2021-01-01 00:00:00,2014-06-16 12:00:00 / 2021-01-25 18:00:00
RZSB,TQBR,РязЭнСб,17.42,100,0.05,A,Т+: Акции и ДР - безадрес.,2,"""Рязанская энергосб.комп"" ПАО",,FNDT,EQIN,,0.02,17.24,SUR,2021-06-15,206940220,RU000A0D9AF5,"JSC ""Ryazanenergosbyt""",1-01-50092-A,17.4,17.4,SUR,1,3,2021-06-18,2014-06-10 10:09:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-10 10:00:00 / 2021-06-16 18:46:08,2014-06-10 00:00:00 / 2021-06-16 21:56:40,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-10 10:00:00 / 2021-06-16 18:46:08
SAGO,TQBR,СамарЭн-ао,0.65,1000,0.25,A,Т+: Акции и ДР - безадрес.,3,Самараэнерго (ПАО) - ао,,FNDT,EQIN,,0.002,0.664,SUR,2021-06-15,3538928532,RU0009098255,SamaraEnergo ao,1-02-00127-A,0.65,0.65,SUR,1,3,2021-06-18,2014-06-09 14:27:00 / 2021-06-16 18:59:59,2003-07-01 00:00:00 / 2021-06-16 00:00:00,2003-07-21 00:00:00 / 2021-06-16 00:00:00,2014-06-09 14:20:00 / 2021-06-16 18:17:20,2003-07-21 00:00:00 / 2021-06-16 21:56:40,2003-07-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 14:00:00 / 2021-06-16 18:17:20
SAGOP,TQBR,СамарЭн-ап,0.525,10000,0.01,A,Т+: Акции и ДР - безадрес.,3,Самараэнерго (ПАО) - ап,,FNDT,EQIN,,0.001,0.522,SUR,2021-06-15,521993080,RU0009084495,SamaraEnergo(pref),2-02-00127-A,0.529,0.529,SUR,2,3,2021-06-18,2014-06-09 11:53:00 / 2021-06-16 17:59:59,2003-07-01 00:00:00 / 2021-06-16 00:00:00,2003-07-21 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:50:00 / 2021-06-16 17:29:59,2003-07-21 00:00:00 / 2021-06-16 21:56:40,2003-07-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:00:00 / 2021-06-16 17:30:07
