SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,PREVADMITTEDQUOTE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE,1 min,1 quarter,1 week,10 min,1 day,1 month,1 hour
LNZL,TQBR,Лензолото,32990.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,"""Лензолото"" ПАО ао",,FNDT,EQIN,,10.0,33910.0,SUR,2021-06-15,1140300,RU000A0JP1N2,Lenzoloto,1-02-40433-N,32990.0,32990.0,SUR,1,3,2021-06-18,2014-06-09 11:31:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:30:00 / 2021-06-16 18:49:09,2014-06-09 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:00:00 / 2021-06-16 18:49:09
LNZLP,TQBR,Лензол. ап,7000.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,"""Лензолото"" ПАО ап",,FNDT,EQIN,,5.0,7110.0,SUR,2021-06-15,347700,RU000A0JP1P7,Lenzoloto pref.,2-02-40433-N,7000.0,7000.0,SUR,2,3,2021-06-18,2014-06-09 10:25:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:20:00 / 2021-06-16 18:49:09,2014-06-09 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:49:09
LPSB,TQBR,ЛЭСК ао,8.45,100,0.22,A,Т+: Акции и ДР - безадрес.,2,Липецкая энергосбыт.ком.ОАО ао,,FNDT,EQIN,,0.05,8.5,SUR,2021-06-15,155521950,RU000A0D8MR7,LESK ao,1-01-65097-D,8.45,8.45,SUR,1,3,2021-06-18,2014-08-15 17:46:00 / 2021-06-16 18:59:59,2014-07-01 00:00:00 / 2021-06-16 00:00:00,2014-08-11 00:00:00 / 2021-06-16 00:00:00,2014-08-15 17:40:00 / 2021-06-16 18:18:07,2014-08-15 00:00:00 / 2021-06-16 21:56:20,2014-08-01 00:00:00 / 2021-06-16 00:00:00,2014-08-15 17:00:00 / 2021-06-16 18:18:07
LSNG,TQBR,РСетиЛЭ,6.65,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Россети Ленэнерго ПАО-ао,,FNDT,EQIN,,0.01,6.67,SUR,2021-06-15,8523785320,RU0009034490,Rosseti LenEnrg,1-01-00073-A,6.65,6.65,SUR,1,3,2021-06-18,2014-06-09 10:42:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:40:00 / 2021-06-16 18:34:11,2014-06-09 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:34:11
LSNGP,TQBR,РСетиЛЭ-п,170.5,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Россети Ленэнерго ПАО-ап,,FNDT,EQIN,,0.05,170.3,SUR,2021-06-15,93264311,RU0009092134,Rosseti LenEnrg (pref),2-01-00073-A,170.5,170.5,SUR,2,3,2021-06-18,2014-06-09 11:22:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:20:00 / 2021-06-16 18:46:07,2014-06-09 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:00:00 / 2021-06-16 18:46:07
LSRG,TQBR,ЛСР ао,761.6,1,0.25,A,Т+: Акции и ДР - безадрес.,1,Группа ЛСР ПАО ао,,FNDT,EQIN,,0.2,759.2,SUR,2021-06-15,103030215,RU000A0JPFP0,LSR,1-01-55234-E,758.4,758.4,SUR,1,1,2021-06-18,2011-12-15 10:01:00 / 2021-06-16 21:59:59,2011-01-01 00:00:00 / 2021-06-16 00:00:00,2011-02-14 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 21:56:20,2011-02-15 00:00:00 / 2021-06-16 21:56:20,2011-02-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 21:56:20
LVHK,TQBR,Левенгук,12.87,100,10.0,A,Т+: Акции и ДР - безадрес.,2,Левенгук ОАО ао,,FNDT,EQIN,,0.01,12.96,SUR,2021-06-15,52940000,RU000A0JT7Y2,Levenguk ao,1-01-04329-D,12.87,12.87,SUR,1,3,2021-06-18,2014-06-09 11:10:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:10:00 / 2021-06-16 18:21:19,2014-06-09 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:00:00 / 2021-06-16 18:21:19
MAGE,TQBR,МагадЭн ао,8.7,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Магаданэнерго"" ПАО ао",,FNDT,EQIN,,0.01,8.7,SUR,2021-06-15,463838268,RU0006758919,Magadanenergo ao,1-01-00254-A,8.7,8.7,SUR,1,3,2021-06-18,2014-06-09 17:03:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 17:00:00 / 2021-06-16 18:35:09,2014-06-09 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 17:00:00 / 2021-06-16 18:35:09
MAGEP,TQBR,МагадЭн ап,5.97,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Магаданэнерго"" ПАО ап",,FNDT,EQIN,,0.01,6.07,SUR,2021-06-15,145673254,RU0006758893,Magadanenergo ap,2-01-00254-A,5.97,5.97,SUR,2,3,2021-06-18,2014-06-09 12:54:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 12:50:00 / 2021-06-16 18:36:10,2014-06-09 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 12:00:00 / 2021-06-16 18:36:10
MAGN,TQBR,ММК,67.0,10,1.0,A,Т+: Акции и ДР - безадрес.,3,"""Магнитогорск.мет.комб"" ПАО ао",,FNDT,EQIN,,0.005,67.105,SUR,2021-06-15,11174330000,RU0009084396,MMK,1-03-00078-A,66.99,66.99,SUR,1,1,2021-06-18,2014-06-09 10:00:00 / 2021-06-16 21:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 21:56:19,2014-06-09 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 21:56:19
MAIL,TQBR,MAIL-гдр,1618.0,1,0.0,A,Т+: Акции и ДР - безадрес.,1,ГДР Mail.ru Gr Limited ORD SHS,,FNDT,EQIN,,0.2,1627.0,USD,2021-06-15,0,US5603172082,GDR Mail.ru Gr Limited ORD SHS,,1624.8,1624.8,SUR,D,1,2021-06-18,2020-07-02 09:59:00 / 2021-06-16 21:59:59,2020-07-01 00:00:00 / 2021-06-16 00:00:00,2020-06-29 00:00:00 / 2021-06-16 00:00:00,2020-07-02 09:50:00 / 2021-06-16 21:56:19,2020-07-02 00:00:00 / 2021-06-16 21:56:20,2020-07-01 00:00:00 / 2021-06-16 00:00:00,2020-07-02 09:00:00 / 2021-06-16 21:56:19
MDMG,TQBR,MDMG-гдр,700.0,10,0.0,A,Т+: Акции и ДР - безадрес.,2,ГДР MD Medical Group Inv. PLC,,FNDT,EQIN,,0.1,701.7,USD,2021-06-15,0,US55279C2008,GDR MD Medical Group Inv. PLC,,700.0,700.0,SUR,D,1,2021-06-18,2020-11-09 09:59:00 / 2021-06-16 18:59:59,2020-10-01 00:00:00 / 2021-06-16 00:00:00,2020-11-09 00:00:00 / 2021-06-16 00:00:00,2020-11-09 09:50:00 / 2021-06-16 18:47:19,2020-11-09 00:00:00 / 2021-06-16 21:56:20,2020-11-01 00:00:00 / 2021-06-16 00:00:00,2020-11-09 09:00:00 / 2021-06-16 18:47:19
MFGS,TQBR,Мегион-ао,318.0,10,25.0,A,Т+: Акции и ДР - безадрес.,1,"ао ""Славнефть-Мегионнефтегаз""",,FNDT,EQIN,,0.5,319.5,SUR,2021-06-15,99474705,RU0009011126,Megion,1-03-00149-A,318.0,318.0,SUR,1,3,2021-06-18,2014-06-10 12:11:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-10 12:10:00 / 2021-06-16 18:49:09,2014-06-10 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-10 12:00:00 / 2021-06-16 18:49:09
MFGSP,TQBR,Мегион-ап,288.0,10,25.0,A,Т+: Акции и ДР - безадрес.,1,ап Мегионнефтегаз,,FNDT,EQIN,,0.5,288.0,SUR,2021-06-15,33056875,RU0009011134,Megion (pref),2-03-00149-A,288.0,288.0,SUR,2,3,2021-06-18,2014-06-09 14:11:00 / 2021-06-16 17:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 14:10:00 / 2021-06-16 17:32:19,2014-06-09 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 14:00:00 / 2021-06-16 17:32:19
MFON,TQBR,МегаФон ао,650.6,1,0.1,N,Т+: Акции и ДР - безадрес.,1,МегаФон ПАО ао,,FNDT,EQIN,,0.2,659.4,SUR,2021-06-15,620000000,RU000A0JS942,MegaFon ao,1-03-00822-J,650.6,650.6,SUR,1,3,2021-06-18,2014-06-09 10:02:00 / 2019-05-29 18:48:00,2014-04-01 00:00:00 / 2019-04-01 00:00:00,2014-06-09 00:00:00 / 2019-05-27 00:00:00,2014-06-09 10:00:00 / 2019-05-29 18:40:00,2014-06-09 00:00:00 / 2019-05-29 00:00:00,2014-06-01 00:00:00 / 2019-05-01 00:00:00,2014-06-09 10:00:00 / 2019-05-29 18:00:00
